County ID,County,Year,Completions
"05000US26021","Berrien County, MI",2019,5
"05000US26021","Berrien County, MI",2020,2
"05000US26021","Berrien County, MI",2021,3
"05000US26021","Berrien County, MI",2022,2
"05000US26021","Berrien County, MI",2023,3
"05000US26103","Marquette County, MI",2012,13
"05000US26103","Marquette County, MI",2013,13
"05000US26103","Marquette County, MI",2014,11
"05000US26103","Marquette County, MI",2015,11
"05000US26103","Marquette County, MI",2016,11
"05000US26103","Marquette County, MI",2017,19
"05000US26103","Marquette County, MI",2018,9
"05000US26103","Marquette County, MI",2019,15
"05000US26103","Marquette County, MI",2020,16
"05000US26103","Marquette County, MI",2021,6
"05000US26103","Marquette County, MI",2022,3
"05000US26103","Marquette County, MI",2023,1
"05000US26121","Muskegon County, MI",2012,0
"05000US26121","Muskegon County, MI",2013,0
"05000US26121","Muskegon County, MI",2014,0
"05000US26121","Muskegon County, MI",2015,0
"05000US26121","Muskegon County, MI",2016,0
"05000US26125","Oakland County, MI",2012,5
"05000US26125","Oakland County, MI",2013,5
"05000US26125","Oakland County, MI",2014,19
"05000US26125","Oakland County, MI",2015,23
"05000US26125","Oakland County, MI",2016,8
"05000US26125","Oakland County, MI",2017,7
"05000US26125","Oakland County, MI",2018,8
"05000US26125","Oakland County, MI",2019,5
"05000US26125","Oakland County, MI",2020,7
"05000US26125","Oakland County, MI",2021,5
"05000US26125","Oakland County, MI",2022,2
"05000US26125","Oakland County, MI",2023,3
"05000US26163","Wayne County, MI",2012,0
"05000US26163","Wayne County, MI",2013,0
"05000US26163","Wayne County, MI",2014,0
"05000US26163","Wayne County, MI",2015,0
"05000US26163","Wayne County, MI",2016,0
"05000US26163","Wayne County, MI",2017,0
"05000US26163","Wayne County, MI",2018,0
"05000US26163","Wayne County, MI",2019,0
"05000US27007","Beltrami County, MN",2018,0
"05000US27007","Beltrami County, MN",2019,0
"05000US27007","Beltrami County, MN",2020,2
"05000US27007","Beltrami County, MN",2021,1
"05000US27007","Beltrami County, MN",2022,0
"05000US27007","Beltrami County, MN",2023,1
"05000US27053","Hennepin County, MN",2014,1
"05000US27053","Hennepin County, MN",2015,2
"05000US27053","Hennepin County, MN",2016,2
"05000US29077","Greene County, MO",2018,3
"05000US29077","Greene County, MO",2019,4
"05000US29077","Greene County, MO",2020,3
"05000US29077","Greene County, MO",2021,4
"05000US29077","Greene County, MO",2022,6
"05000US29077","Greene County, MO",2023,2
"05000US29145","Newton County, MO",2012,12
"05000US29145","Newton County, MO",2013,4
"05000US29145","Newton County, MO",2014,4
"05000US29145","Newton County, MO",2015,2
"05000US29145","Newton County, MO",2016,0
"05000US29145","Newton County, MO",2017,0
"05000US29145","Newton County, MO",2023,0
"05000US29189","St. Louis County, MO",2012,15
"05000US29189","St. Louis County, MO",2013,24
"05000US29189","St. Louis County, MO",2014,43
"05000US29189","St. Louis County, MO",2015,47
"05000US29189","St. Louis County, MO",2016,41
"05000US29189","St. Louis County, MO",2017,38
"05000US29189","St. Louis County, MO",2018,29
"05000US29189","St. Louis County, MO",2019,92
"05000US29189","St. Louis County, MO",2020,111
"05000US29189","St. Louis County, MO",2021,123
"05000US29189","St. Louis County, MO",2022,110
"05000US29189","St. Louis County, MO",2023,113
"05000US29510","St. Louis city, MO",2022,0
"05000US29510","St. Louis city, MO",2023,0
"05000US30001","Beaverhead County, MT",2012,0
"05000US30001","Beaverhead County, MT",2013,4
"05000US30001","Beaverhead County, MT",2019,2
"05000US30001","Beaverhead County, MT",2020,4
"05000US30001","Beaverhead County, MT",2021,4
"05000US30001","Beaverhead County, MT",2022,4
"05000US30001","Beaverhead County, MT",2023,1
"05000US31055","Douglas County, NE",2012,4
"05000US31055","Douglas County, NE",2013,15
"05000US31055","Douglas County, NE",2014,19
"05000US31055","Douglas County, NE",2015,7
"05000US31055","Douglas County, NE",2016,13
"05000US31055","Douglas County, NE",2017,0
"05000US31055","Douglas County, NE",2018,0
"05000US31109","Lancaster County, NE",2016,0
"05000US31109","Lancaster County, NE",2017,0
"05000US31109","Lancaster County, NE",2018,0
"05000US31159","Seward County, NE",2012,12
"05000US31159","Seward County, NE",2013,11
"05000US31159","Seward County, NE",2014,3
"05000US31159","Seward County, NE",2015,11
"05000US31159","Seward County, NE",2016,18
"05000US31159","Seward County, NE",2017,13
"05000US31159","Seward County, NE",2018,21
"05000US31159","Seward County, NE",2019,18
"05000US31159","Seward County, NE",2020,12
"05000US31159","Seward County, NE",2021,14
"05000US31159","Seward County, NE",2022,22
"05000US31159","Seward County, NE",2023,11
"05000US32003","Clark County, NV",2014,32
"05000US32003","Clark County, NV",2015,34
"05000US32003","Clark County, NV",2016,28
"05000US32003","Clark County, NV",2017,19
"05000US32003","Clark County, NV",2018,15
"05000US32003","Clark County, NV",2019,8
"05000US32003","Clark County, NV",2020,0
"05000US32003","Clark County, NV",2021,1
"05000US32003","Clark County, NV",2022,0
"05000US32003","Clark County, NV",2023,0
"05000US33005","Cheshire County, NH",2012,16
"05000US33005","Cheshire County, NH",2013,12
"05000US33005","Cheshire County, NH",2014,1
"05000US33005","Cheshire County, NH",2015,16
"05000US33005","Cheshire County, NH",2016,8
"05000US33005","Cheshire County, NH",2017,15
"05000US33005","Cheshire County, NH",2018,19
"05000US33005","Cheshire County, NH",2019,12
"05000US33005","Cheshire County, NH",2020,7
"05000US33005","Cheshire County, NH",2021,7
