Age,CIP2 ID,CIP2,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population,Total Population MOE Appx,share
21,"30","Interdisciplinary Studies",2017,11884.927808845958,8601.653505094351,84,1967,1088.8648475029704,0.002415355125968076
21,"30","Interdisciplinary Studies",2018,14270.686651053864,9604.351806628207,91,2135,1134.4112607627583,0.0025316875980510157
21,"30","Interdisciplinary Studies",2019,14403.201707097933,8897.655196739519,99,2226,1158.33473934165,0.002552881108679796
21,"30","Interdisciplinary Studies",2020,15890.22247706422,8697.179955586484,107,2616,1255.71135079228,0.002867135243076296
21,"30","Interdisciplinary Studies",2021,16073.187063579566,8053.859816233648,116,2721,1280.663733911964,0.0028534844285323276
21,"30","Interdisciplinary Studies",2022,17595.941520467837,7647.914698876743,125,3078,1362.0864692677756,0.0031399416285055287
21,"30","Interdisciplinary Studies",2023,19231.018249304052,8722.020584090531,129,3233,1395.960195034604,0.0032141522114321618
22,"30","Interdisciplinary Studies",2014,15025.314206705842,3407.6371424334952,359,8679,2287.156447816422,0.011560793737270673
22,"30","Interdisciplinary Studies",2015,16816.692581410396,5431.403476494415,388,9274,2364.2525806847425,0.011990215446355616
22,"30","Interdisciplinary Studies",2016,16705.69417721519,5453.548191395845,412,9875,2439.653704016357,0.012491587943309063
22,"30","Interdisciplinary Studies",2017,16630.45371551978,5461.746020968272,416,10187,2477.8931526070646,0.012509009999103605
22,"30","Interdisciplinary Studies",2018,16896.337106656974,5592.661249911,407,9629,2409.07908550005,0.011418088937533129
22,"30","Interdisciplinary Studies",2019,17266.220922491677,5497.068574235328,435,10515,2517.468297885721,0.012059094724963186
22,"30","Interdisciplinary Studies",2020,16110.120675639057,3728.828630224224,423,11071,2583.1645143040187,0.012133812796673422
22,"30","Interdisciplinary Studies",2021,18778.057251278668,4047.8340563123616,459,12122,2702.990019541345,0.012712215451182974
22,"30","Interdisciplinary Studies",2022,21669.644840961984,4237.331404102254,491,12890,2787.2943998837554,0.013149398177854536
22,"30","Interdisciplinary Studies",2023,22845.298141891893,4479.780528743478,515,13024,2801.7444292350415,0.012948072502843327
23,"30","Interdisciplinary Studies",2014,22196.87248574472,4321.600242566725,681,15959,3101.3611911563344,0.02125806052000261
